City_ID,City,Country,Max Temp,Current Weather Description,Lat,Lng,Hotel Name
440,Viedma,AR,88.32,clear sky,-40.8135,-62.9967,Hotel Cristal
441,Sao Joao Da Barra,BR,78.89,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
442,Miandrivazo,MG,85.96,overcast clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
443,Nampula,MZ,89.55,broken clouds,-15.1165,39.2666,BUTIK Hotel
444,Banda Aceh,ID,79.2,overcast clouds,5.5577,95.3222,Sulthan Hotel International
445,Khani,GE,45.97,scattered clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
446,Antofagasta,CL,73.22,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
448,Buncrana,IE,49.82,overcast clouds,55.1333,-7.45,Inishowen Gateway Hotel
449,Bull Savanna,JM,80.01,clear sky,17.8868,-77.5902,Big Red's
451,Luis Correia,BR,89.6,few clouds,-2.8792,-41.6669,Hotel Amarração
453,San Joaquin,US,46.24,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
456,Caluquembe,AO,75.65,scattered clouds,-13.7833,14.6833,Hotel Kalukembe
457,Vao,NC,79.39,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
458,Pontianak,ID,78.78,haze,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
460,Saurimo,AO,65.34,light rain,-9.6608,20.3916,Hotel Kawissa Saurimo
461,Inyonga,TZ,68.95,moderate rain,-6.7167,32.0667,Eden Rock Lodge
462,Makambako,TZ,63.77,light rain,-8.8453,34.823,Viva Lwid Lodge
463,Guanay,BO,88.45,overcast clouds,-15.4975,-67.8797,Hotel Ritzy
464,Manaure,CO,84.31,scattered clouds,11.7751,-72.4445,Hotel Palaaima
466,Westport,US,44.17,light rain,41.1415,-73.3579,The Westport Inn
467,Wald-Michelbach,DE,47.48,overcast clouds,49.57,8.8317,Birkenhof
468,Itarema,BR,86.59,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
469,Busembatia,UG,84.25,overcast clouds,0.7697,33.6131,ROMA GUEST HOUSE
