,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather Description
137,Nouadhibou,MR,20.931,-17.0347,65.28,70,100,20.36,overcast clouds
138,Maridi,SS,4.9158,29.4742,72.07,36,61,4.68,broken clouds
139,Mananjary,MG,-21.2167,48.3333,73.27,83,80,10.36,broken clouds
140,Nanortalik,GL,60.1432,-45.2371,27.1,91,100,8.32,light snow
141,Esil,KZ,51.9556,66.4042,21.7,97,98,7.72,light snow
142,Senanga,ZM,-16.1167,23.2667,64.38,94,99,3.53,overcast clouds
143,Male,MV,4.1748,73.5089,80.55,89,75,6.91,broken clouds
144,Punta Arenas,CL,-53.15,-70.9167,48.31,76,0,5.75,clear sky
145,Palpa,PE,-14.5336,-75.1856,74.23,65,100,3.4,overcast clouds
146,Inhambane,MZ,-23.865,35.3833,75.92,75,81,5.99,broken clouds
147,Parsabad,IR,39.6482,47.9174,45.28,51,16,9.44,few clouds
148,Mineros,BO,-17.1167,-63.2333,72.99,71,100,11.95,overcast clouds
149,Eyl,SO,7.9803,49.8164,72.21,74,96,8.01,overcast clouds
150,Quixada,BR,-4.9714,-39.0153,72.66,93,6,3.31,clear sky
151,Chupa,RU,66.27,33.0549,5.27,87,5,5.12,clear sky
152,Wilmington,US,34.2257,-77.9447,57.92,62,75,4.61,broken clouds
153,Opuwo,NA,-18.0607,13.84,66.99,82,100,0.2,overcast clouds
154,Henties Bay,NA,-22.116,14.2845,71.85,79,100,0.18,overcast clouds
155,Grindavik,IS,63.8424,-22.4338,23.47,68,0,5.75,clear sky
156,Kruisfontein,ZA,-34.0033,24.7314,69.31,92,100,9.08,overcast clouds
157,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.21,82,6,9.06,light rain
158,Kidodi,TZ,-7.6036,37.0044,70.16,96,100,2.95,overcast clouds
159,San Cristobal,VE,7.7669,-72.225,71.78,73,39,1.81,scattered clouds
160,Plettenberg Bay,ZA,-34.0527,23.3716,68.32,91,100,5.3,overcast clouds
161,Carnarvon,AU,-24.8667,113.6333,87.87,62,100,10.36,overcast clouds
162,Puerto Cabezas,NI,14.0351,-83.3888,75.38,87,19,7.61,few clouds
163,Coquimbo,CL,-29.9533,-71.3436,64.13,82,0,8.05,clear sky
164,Batak,BG,41.95,24.2167,29.53,97,100,3.85,light snow
165,Puerto Quijarro,BO,-17.7833,-57.7667,72.68,97,100,5.93,overcast clouds
166,Taoudenni,ML,22.6783,-3.9836,59.92,26,0,13.04,clear sky
167,Geraldton,AU,-28.7667,114.6,88.21,42,1,11.5,clear sky
168,Nadym,RU,65.5333,72.5167,-11.9,94,9,15.68,clear sky
169,Mattawa,US,46.7379,-119.9028,45.0,44,4,8.99,clear sky
170,Saint-Joseph,RE,-21.3667,55.6167,77.36,80,2,9.22,light rain
171,Talnakh,RU,69.4865,88.3972,-7.96,73,53,9.89,broken clouds
172,Tasiilaq,GL,65.6145,-37.6368,6.96,66,100,5.3,overcast clouds
173,Araouane,ML,18.9048,-3.5265,60.31,19,70,11.32,broken clouds
174,Abu Samrah,SY,35.3029,37.1841,44.02,71,2,4.68,clear sky
175,San Carlos De Bariloche,AR,-41.1456,-71.3082,64.15,29,0,6.91,clear sky
176,Dosso,NE,13.049,3.1937,68.27,13,0,11.05,clear sky
177,Eenhana,NA,-17.4667,16.3333,69.55,93,100,2.3,light rain
178,Maragogi,BR,-9.0122,-35.2225,79.05,82,4,8.99,clear sky
179,Quchan,IR,37.106,58.5095,32.67,89,90,4.65,overcast clouds
