City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Waddan,LY,2022-02-01 17:46:35,29.1614,16.139,56.79,20,51,10.65
112,Nuuk,GL,2022-02-01 17:46:35,64.1835,-51.7216,11.01,79,75,8.05
113,Hualmay,PE,2022-02-01 17:46:35,-11.0964,-77.6139,75.99,69,70,10.89
114,Tiksi,RU,2022-02-01 17:46:36,71.6872,128.8694,-17.21,100,100,3.42
115,Dixon,US,2022-02-01 17:46:36,38.4455,-121.8233,55.4,30,75,28.77
116,Sobolevo,RU,2022-02-01 17:46:36,54.4299,31.8996,17.4,94,99,9.1
117,Hyeres,FR,2022-02-01 17:46:37,43.1167,6.1167,52.74,47,0,1.14
118,Chara,RU,2022-02-01 17:46:37,56.9064,118.2631,-20.07,88,53,1.57
119,Carlos Chagas,BR,2022-02-01 17:46:37,-17.7031,-40.7664,89.19,53,100,2.46
120,Pilar,BR,2022-02-01 17:46:38,-9.5972,-35.9567,91.33,44,66,12.91
121,Cherskiy,RU,2022-02-01 17:46:38,68.75,161.3,-9.27,81,99,1.54
122,New Norfolk,AU,2022-02-01 17:46:39,-42.7826,147.0587,51.3,60,50,3.0
123,Kruisfontein,ZA,2022-02-01 17:46:39,-34.0033,24.7314,77.88,79,44,2.55
124,Bambous Virieux,MU,2022-02-01 17:46:39,-20.3428,57.7575,80.85,89,75,21.85
125,Shimsk,RU,2022-02-01 17:46:40,58.212,30.7127,21.51,96,100,6.53
126,Thompson,CA,2022-02-01 17:42:59,55.7435,-97.8558,-18.24,69,40,12.66
127,Mar Del Plata,AR,2022-02-01 17:46:40,-38.0023,-57.5575,81.88,47,0,25.01
128,Upernavik,GL,2022-02-01 17:46:41,72.7868,-56.1549,-16.49,76,100,6.29
129,Moratuwa,LK,2022-02-01 17:46:41,6.773,79.8816,78.82,75,8,4.14
130,Washington,US,2022-02-01 17:45:41,47.5001,-120.5015,34.75,68,4,2.1
131,Magnor,SE,2022-02-01 17:46:42,59.9511,12.1996,23.41,82,100,7.02
132,Mantua,IT,2022-02-01 17:46:42,45.1667,10.7833,51.04,51,0,6.42
133,Opuwo,NA,2022-02-01 17:46:42,-18.0607,13.84,76.3,31,57,14.67
134,Henties Bay,NA,2022-02-01 17:46:43,-22.116,14.2845,72.86,75,18,6.64
135,Ponta Do Sol,PT,2022-02-01 17:46:43,32.6667,-17.1,69.01,68,22,12.03
136,Kawhia,NZ,2022-02-01 17:46:43,-38.0651,174.8183,67.37,88,99,10.54
137,Port Elizabeth,ZA,2022-02-01 17:47:44,-33.918,25.5701,80.1,69,0,5.75
138,Monrovia,LR,2022-02-01 17:43:06,6.3005,-10.7969,87.57,72,68,11.77
139,Sosnogorsk,RU,2022-02-01 17:46:38,63.6023,53.8817,13.01,95,95,6.67
140,Busselton,AU,2022-02-01 17:47:45,-33.65,115.3333,61.05,64,7,18.79
141,Sorland,NO,2022-02-01 17:47:45,67.667,12.6934,30.27,54,100,22.95
142,College,US,2022-02-01 17:45:30,64.8569,-147.8028,-2.54,73,0,0.0
143,Saint-Francois,FR,2022-02-01 17:47:45,46.4154,3.9054,42.24,93,100,6.91
144,Enid,US,2022-02-01 17:47:46,36.3956,-97.8784,58.68,75,90,5.01
145,Dakar,SN,2022-02-01 17:47:46,14.6937,-17.4441,94.08,57,69,16.11
146,Crnomelj,SI,2022-02-01 17:47:47,45.5711,15.1889,42.28,91,78,3.11
147,Paamiut,GL,2022-02-01 17:47:47,61.994,-49.6678,16.72,76,100,14.54
148,Leningradskiy,RU,2022-02-01 17:47:47,69.3833,178.4167,-12.01,94,52,12.06
149,Deputatskiy,RU,2022-02-01 17:47:48,69.3,139.9,-13.23,100,100,1.74
150,Airai,TL,2022-02-01 17:47:48,-8.9266,125.4092,60.01,85,86,3.33
151,Acapulco,MX,2022-02-01 17:46:50,16.8634,-99.8901,81.77,57,0,6.98
152,Chuy,UY,2022-02-01 17:47:48,-33.6971,-53.4616,76.37,37,0,5.41
153,Levice,SK,2022-02-01 17:47:49,48.2156,18.6071,37.44,84,61,4.9
154,Linden,GY,2022-02-01 17:47:49,6.0,-58.3,86.14,84,100,4.0
155,Kununurra,AU,2022-02-01 17:45:27,-15.7667,128.7333,78.78,89,100,8.05
156,Vanimo,PG,2022-02-01 17:47:49,-2.6741,141.3028,76.05,86,100,5.06
157,Christchurch,NZ,2022-02-01 17:47:50,-43.5333,172.6333,70.0,69,100,1.99
158,Castro,BR,2022-02-01 17:47:50,-24.7911,-50.0119,79.18,58,42,4.36
159,Coquimbo,CL,2022-02-01 17:47:51,-29.9533,-71.3436,69.53,64,40,8.05
160,Kodiak,US,2022-02-01 17:47:51,57.79,-152.4072,36.91,87,100,21.85
161,Korla,CN,2022-02-01 17:47:51,41.7597,86.1469,24.35,44,92,1.66
162,Xuddur,SO,2022-02-01 17:47:51,4.1213,43.8894,83.41,31,100,10.38
163,Katsuura,JP,2022-02-01 17:47:52,35.1333,140.3,39.31,45,17,13.42
164,Hoquiam,US,2022-02-01 17:47:52,46.9809,-123.8893,44.92,87,40,6.91
165,Killam,CA,2022-02-01 17:45:08,52.7834,-111.8518,-2.61,77,86,9.22
166,Sitka,US,2022-02-01 17:47:53,57.0531,-135.33,31.89,80,100,0.0
167,Hurghada,EG,2022-02-01 17:47:53,27.2574,33.8129,64.44,48,0,0.0
168,Tsiroanomandidy,MG,2022-02-01 17:47:53,-18.7667,46.0333,73.13,67,30,2.42
169,Nanortalik,GL,2022-02-01 17:47:54,60.1432,-45.2371,12.76,78,19,12.37
170,Aklavik,CA,2022-02-01 17:47:54,68.2191,-135.0107,-11.2,77,75,4.61
